zsh: Нет такого файла или каталога: ./cmd/screener-core/screener-core
2025/09/19 23:04:50 logger.go:35: 2025-09-19T23:04:50+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:04:50 main.go:60: 2025-09-19T23:04:50+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:04:50 error reading config file: open configs/screener-core.yaml: no such file or directory
2025/09/19 23:05:19 logger.go:35: 2025-09-19T23:05:19+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 424/582: SAFEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 425/582: SAHUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 426/582: SAHARAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 427/582: SANDUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 428/582: SANTOSUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 429/582: SAPIENUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 430/582: SAROSUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 431/582: SCUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 432/582: SCAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 433/582: SCRUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 434/582: SCRTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 435/582: SDUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 436/582: SEIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 437/582: SENDUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 438/582: SERAPHUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 439/582: SFPUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 440/582: SHELLUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 441/582: SHIBUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 442/582: SIGNUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 443/582: SIRENUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 444/582: SKATEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 445/582: SKLUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 446/582: SKYUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 447/582: SKYAIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 448/582: SLAYUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 449/582: SLERFUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 450/582: SLPUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 451/582: SNTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 452/582: SNXUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 453/582: SOLUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 454/582: SOLAYERUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 455/582: SOLOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 456/582: SOLVUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 457/582: SOMIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 458/582: SONICUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 459/582: SOONUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 460/582: SOPHUSDT
